,Reward,Average Reward
700,242.40727243542156,229.2046746453458
701,278.77240085722383,230.6490204465558
702,230.47078935552074,230.5426571791342
703,238.60216452503317,230.41468975194744
704,271.1140555058531,231.09133952394095
705,204.97475093847714,230.84095875607858
706,232.42627461592988,230.52305720396546
707,227.01336568203004,230.32795987158576
708,241.77889688590358,230.18629726291587
709,277.0854593265899,230.6340439205234
710,244.1234083945091,230.52397384690227
711,261.0783458188793,233.9522153730752
712,130.92111562319613,232.44293865473625
713,227.70985377843238,231.95472014437107
714,236.7019877204729,231.7630637351344
715,275.52141602344136,232.81542657025486
716,203.99226425416947,232.2931860502652
717,123.6988262530164,234.42581252398307
718,260.39759437223483,234.58196372097112
719,246.93316381110353,234.70488674486216
720,265.5297839686589,234.56285428757673
721,276.1631905942344,234.77867675686852
722,223.30816866659876,234.64139178453178
723,250.7775200487758,234.4773598175601
724,195.99972358693273,234.12202136796827
725,243.93380618822582,235.62492702902506
726,236.7727925906176,235.1397600195267
727,218.83741652390722,234.60125762364615
728,207.69132741026235,234.0777235005133
729,241.02573877924834,234.38458703892675
730,244.63547191562827,234.7703851205248
731,253.23375056446278,234.81859179761378
732,250.03110828576558,234.89501510005692
733,189.55624833704235,234.8606941061528
734,277.02692327963155,235.4961836159114
735,229.6248186051145,235.05159823301045
736,210.87728972189583,234.93901401090122
737,265.42110915507567,234.85990576106576
738,105.42895069576984,233.38016130788256
739,191.1134118374196,232.98981407655708
